# SAMPLE OUTPUT in an older nccl-tests format (illustrative, NOT a measurement): generated by
# tools/make_fixtures.py from alpha = 15.0 us, busbw -> 18.0 GB/s (all_gather, 4 ranks).
# nThread 1 nGpus 4 minBytes 1024 maxBytes 134217728 step: 2(factor) warmup iters: 5 iters: 20 validation: 1
#
# Using devices
#   Rank  0 Pid  10123 on sample-node device  0 [0x3b] SAMPLE-GPU (illustrative)
#   Rank  1 Pid  10123 on sample-node device  1 [0x3c] SAMPLE-GPU (illustrative)
#   Rank  2 Pid  10123 on sample-node device  2 [0x3d] SAMPLE-GPU (illustrative)
#   Rank  3 Pid  10123 on sample-node device  3 [0x3e] SAMPLE-GPU (illustrative)
#
#                                             out-of-place                       in-place          
#       size         count    type     time   algbw   busbw  error     time   algbw   busbw  error
#        (B)    (elements)             (us)  (GB/s)  (GB/s)            (us)  (GB/s)  (GB/s)       
        1024            64   float    15.06    0.07    0.05  0e+00    15.67    0.07    0.05  0e+00
        2048           128   float    15.65    0.13    0.10  0e+00    14.86    0.14    0.10  0e+00
        4096           256   float    15.04    0.27    0.20  0e+00    14.93    0.27    0.21  0e+00
        8192           512   float    15.61    0.52    0.39  0e+00    15.32    0.53    0.40  0e+00
       16384          1024   float    16.04    1.02    0.77  0e+00    14.84    1.10    0.83  0e+00
       32768          2048   float    17.15    1.91    1.43  0e+00    16.32    2.01    1.51  0e+00
       65536          4096   float    18.10    3.62    2.72  0e+00    17.66    3.71    2.78  0e+00
      131072          8192   float    20.23    6.48    4.86  0e+00    20.75    6.32    4.74  0e+00
      262144         16384   float    26.57    9.87    7.40  0e+00    25.77   10.17    7.63  0e+00
      524288         32768   float    36.68   14.29   10.72  0e+00    37.61   13.94   10.45  0e+00
     1048576         65536   float    57.18   18.34   13.75  0e+00    56.08   18.70   14.02  0e+00
     2097152        131072   float   103.60   20.24   15.18  0e+00   100.34   20.90   15.67  0e+00
     4194304        262144   float   179.14   23.41   17.56  0e+00   185.18   22.65   16.99  0e+00
     8388608        524288   float   359.45   23.34   17.50  0e+00   351.71   23.85   17.89  0e+00
    16777216       1048576   float   682.78   24.57   18.43  0e+00   714.84   23.47   17.60  0e+00
    33554432       2097152   float  1451.66   23.11   17.34  0e+00  1403.25   23.91   17.93  0e+00
    67108864       4194304   float  2749.19   24.41   18.31  0e+00  2843.86   23.60   17.70  0e+00
   134217728       8388608   float  5729.37   23.43   17.57  0e+00  5557.16   24.15   18.11  0e+00
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 9.1363 
