# SAMPLE OUTPUT in the documented nccl-tests format (illustrative, NOT a measurement): generated by
# tools/make_fixtures.py from t = alpha + S/B with alpha = 20.0 us and busbw -> 400.0 GB/s (all_reduce, 8 ranks), 3% noise.
# nccl-tests version 2.20.0 (sample) nccl-headers=22807 nccl-library=22807
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 8 minBytes 8 maxBytes 1073741824 step: 2(factor) warmup iters: 5 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid  41200 on sample-node device  0 [0000:18:00] SAMPLE-GPU (illustrative)
#  Rank  1 Group  0 Pid  41200 on sample-node device  1 [0000:20:00] SAMPLE-GPU (illustrative)
#  Rank  2 Group  0 Pid  41200 on sample-node device  2 [0000:28:00] SAMPLE-GPU (illustrative)
#  Rank  3 Group  0 Pid  41200 on sample-node device  3 [0000:30:00] SAMPLE-GPU (illustrative)
#  Rank  4 Group  0 Pid  41200 on sample-node device  4 [0000:38:00] SAMPLE-GPU (illustrative)
#  Rank  5 Group  0 Pid  41200 on sample-node device  5 [0000:40:00] SAMPLE-GPU (illustrative)
#  Rank  6 Group  0 Pid  41200 on sample-node device  6 [0000:48:00] SAMPLE-GPU (illustrative)
#  Rank  7 Group  0 Pid  41200 on sample-node device  7 [0000:50:00] SAMPLE-GPU (illustrative)
sample-node:41200:41262 [0] NCCL INFO Channel 00/16 :    0   1   2   3   4   5   6   7
sample-node:41200:41262 [0] NCCL INFO Connected all rings
#
#                                                              out-of-place                       in-place
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)        
           8             2     float     sum      -1    20.00    0.00    0.00       0    20.18    0.00    0.00       0
          16             4     float     sum      -1    19.84    0.00    0.00       0    19.47    0.00    0.00       0
          32             8     float     sum      -1    19.73    0.00    0.00       0    19.41    0.00    0.00       0
          64            16     float     sum      -1    20.04    0.00    0.01       0    20.82    0.00    0.01       0
         128            32     float     sum      -1    19.71    0.01    0.01       0    19.63    0.01    0.01       0
         256            64     float     sum      -1    20.30    0.01    0.02       0    20.22    0.01    0.02       0
         512           128     float     sum      -1    20.07    0.03    0.04       0    19.45    0.03    0.05       0
        1024           256     float     sum      -1    19.99    0.05    0.09       0    20.43    0.05    0.09       0
        2048           512     float     sum      -1    19.22    0.11    0.19       0    19.74    0.10    0.18       0
        4096          1024     float     sum      -1    18.91    0.22    0.38       0    19.26    0.21    0.37       0
        8192          2048     float     sum      -1    18.96    0.43    0.76       0    19.90    0.41    0.72       0
       16384          4096     float     sum      -1    19.32    0.85    1.48       0    20.24    0.81    1.42       0
       32768          8192     float     sum      -1    20.24    1.62    2.83       0    20.03    1.64    2.86       0
       65536         16384     float     sum      -1    18.81    3.48    6.10       0    19.96    3.28    5.75       0
      131072         32768     float     sum      -1    20.54    6.38   11.17       0    20.64    6.35   11.11       0
      262144         65536     float     sum      -1    20.20   12.98   22.71       0    20.85   12.58   22.01       0
      524288        131072     float     sum      -1    21.65   24.22   42.38       0    21.76   24.09   42.17       0
     1048576        262144     float     sum      -1    25.38   41.31   72.29       0    24.00   43.69   76.46       0
     2097152        524288     float     sum      -1    29.15   71.95  125.92       0    29.96   70.00  122.50       0
     4194304       1048576     float     sum      -1    37.68  111.30  194.78       0    38.22  109.74  192.04       0
     8388608       2097152     float     sum      -1    56.89  147.46  258.05       0    56.81  147.66  258.41       0
    16777216       4194304     float     sum      -1    90.03  186.35  326.11       0    93.61  179.22  313.63       0
    33554432       8388608     float     sum      -1   173.74  193.13  337.98       0   159.24  210.72  368.76       0
    67108864      16777216     float     sum      -1   321.79  208.55  364.96       0   314.73  213.23  373.15       0
   134217728      33554432     float     sum      -1   595.63  225.34  394.34       0   644.76  208.17  364.29       0
   268435456      67108864     float     sum      -1  1222.03  219.66  384.41       0  1152.20  232.98  407.71       0
   536870912     134217728     float     sum      -1  2374.11  226.14  395.74       0  2410.15  222.75  389.82       0
  1073741824     268435456     float     sum      -1  4690.98  228.90  400.57       0  4815.27  222.99  390.23       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 119.412 
#
# Collective test concluded: all_reduce_perf
